id,name,category,description
prod-001,Keychron K3 Pro Low Profile Wireless Keyboard,Elektronik,"Keyboard mekanis nirkabel low-profile dengan QMK/VIA. Layout 75%."
prod-002,Gundam Aerial Rebuild HG 1/144,Figure,"High Grade Gundam dari serial The Witch from Mercury."
prod-003,Biore UV Aqua Rich Watery Essence SPF50+,Skincare,"Sunscreen ringan best-seller Jepang. Tekstur gel berair."
prod-004,DHC Deep Cleansing Oil,Skincare,"Pembersih makeup terlaris DHC. Formula minyak zaitun."
prod-005,Chocola BB Plus,Suplemen,"Suplemen vitamin B2 populer untuk kesehatan kulit dan stamina."
prod-006,Pillbox Onaka Diet Aid,Suplemen,"Suplemen diet populer Jepang. Mengandung konjac dan ginger extract."
prod-007,DHC Collagen Powder,Suplemen,"Kolagen bubuk premium DHC untuk kecantikan kulit dari dalam."
prod-008,DHC Lasting Vitamin C,Suplemen,"Vitamin C slow-release 1000mg. Tahan 8 jam dalam tubuh."
prod-009,Melano CC Vitamin C Serum,Skincare,"Serum vitamin C dari Rohto. Mencerahkan dan meratakan warna kulit."
prod-010,Uniqlo Heattech Extra Warm Crew Neck T-Shirt,Pakaian,"Kaos termal Heattech edisi Extra Warm. Cocok untuk musim dingin Jepang."
